name,address,floor,toilet_name,note,color,lng,lat
檜原都民の森,東京都 檜原村数馬７１４６,1F,駐車場トイレ,"原則通年利用可能(雪等で駐車場を閉めるとき、利用不可） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.031015,35.737874
檜原都民の森,東京都 檜原村数馬７１４６,1F,森林館誰でもトイレ,年末年始、森林館が閉館の時、利用不可 | 設備: 車椅子対応,#00cc00,139.029075,35.739826
