name,address,floor,toilet_name,note,color,lng,lat
利島村地域交流会館,東京都 利島村863番地,1階,なし,,#00cc00,139.281901,34.528327
利島村勤労福祉会館,東京都 利島村1351番地,1階,なし,"臨時休館があります。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.280441,34.5284
利島村船客待合所,東京都 利島村2439番地,2階,なし,24時間使用可能ですが、施設が無人の場合は、危険が伴う恐れがあるため、使用を控えて頂きたい。船の就航時間帯以外は施設が無人となります。船の就航時間は、季節や船の種類、天候により異なります。 | 設備: 車椅子対応,#00cc00,139.280185,34.531701
