name,address,floor,toilet_name,note,color,lng,lat
京王よみうりランド駅 (相模原線),東京都 稲城市矢野口2200番地1,1F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 相模原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.517207,35.632959
稲城駅 (相模原線),東京都 稲城市東長沼3108番地,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 相模原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.500268,35.636293
矢野口駅 (南武線),東京都 稲城市矢野口,1F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 南武線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.5205,35.64168
稲城長沼駅 (南武線),東京都 稲城市東長沼,1F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 南武線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.502,35.64447
南多摩駅 (南武線),東京都 稲城市大丸,1F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 南武線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.4895,35.64925
