name,address,floor,toilet_name,note,color,lng,lat
吉祥寺駅 (井の頭線),東京都 武蔵野市吉祥寺南2丁目1番31号,3F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 井の頭線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.580219,35.702541
武蔵境駅 (多摩川線),東京都 武蔵野市境南町2丁目1番12号,1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 多摩川線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.54383,35.701999
吉祥寺駅 (中央線),東京都 武蔵野市吉祥寺南町1丁目,2F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 中央線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.57961,35.703223
武蔵境駅 (中央線),東京都 武蔵野市境1丁目,1F,だれでもトイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 中央線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.54368,35.702149
