name,address,floor,toilet_name,note,color,lng,lat
保谷駅 (池袋線),東京都 西東京市東町3丁目14番30号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 池袋線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.56767,35.748364
ひばりヶ丘駅 (池袋線),東京都 西東京市住吉町3丁目9番19号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 池袋線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.545739,35.751408
東伏見駅 (新宿線),東京都 西東京市東伏見2丁目5番1号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.56413,35.728693
西武柳沢駅 (新宿線),東京都 西東京市保谷町3丁目11番24号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.5525,35.728651
田無駅 (新宿線),東京都 西東京市田無町4丁目1番1号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.539,35.727284
